,Titulo,Autor,NotaMedia,Rango,NumVotos,NumCriticas,Genero,Editorial,AñoEdicion,Resumen
68,BAJO LA MISMA ESTRELLA,"GREEN, JOHN","7,59",Muy bueno,1.031,151,Infantil y juvenil,NUBE DE TINTA,2012,"A Hazel y a Gus les gustaría tener vidas más corrientes. Algunos dirían que no han nacido con estrella, que su mundo es injusto. Hazel y Gus son solo adolescentes, pero si algo les ha enseñado el cáncer que ambos padecen es que no hay tiempo para lamentaciones, porque, nos guste o no, solo existe el...
										
									"
69,HARRY POTTER Y LA CÁMARA SECRETA,"ROWLING, JOANNE K.","7,58",Muy bueno,2.485,45,Infantil y juvenil,SALAMANDRA,2014,"Tras derrotar una vez más a Lord Voldemort, su siniestro enemigo en Harry Potter y la piedra filosofal, Harry espera impaciente en casa de sus insoportables tíos el inicio del segundo curso del Colegio Hogwarts de Magia y Hechicería. Sin embargo, la espera dura poco, pues un elfo aparece en su habit...
										
									"
70,RIMAS Y LEYENDAS,"BÉCQUER, GUSTAVO ADOLFO","7,58",Muy bueno,1.730,39,Clásicos de la literatura,PENGUIN,2016,"Las Rimas de Bécquer son hoy la más conocida de las colecciones poéticas del siglo XIX. Exponente de una lírica incómoda en el corsé romántico y casi modernista, estos poemas breves deben su liviandad a un esforzado trabajo de depuración estilística. A su vez, las Leyendas son narraciones fantástica...
										
									"
71,EL LOBO ESTEPARIO,"HESSE, HERMANN","7,56",Muy bueno,1.038,78,Literatura contemporánea,ALIANZA,2006,"Encrucijada de todas las obsesiones e intuiciones de HERMANN HESSE (1887-1962) y exponente de su singular talento para el relato, EL LOBO ESTEPARIO se inscribe dentro del empeño, patente a lo largo de toda su obra, por iluminar la zona oscura de la condición humana a fin de poner al descubierto su c...
										
									"
72,EL TIEMPO ENTRE COSTURAS,"DUEÑAS, MARÍA","7,54",Muy bueno,1.921,219,Narrativa,TEMAS DE HOY,2009,"La joven modista Sira Quiroga abandona Madrid en los meses previos al alzamiento, arrastrada por el amor desbocado hacia un hombre a quien apenas conoce. Juntos se instalan en Tánger, una ciudad mundana, exótica y vibrante donde todo lo impensable puede hacerse realidad. Incluso, la traición y el ab...
										
									"
73,EL EXTRANJERO,"CAMUS, ALBERT","7,54",Muy bueno,1.162,80,Literatura contemporánea,ALIANZA,2013,"Con motivo del centenario del nacimiento de Albert Camus y setenta años después de la aparición en Francia de una de las novelas más representativas y leídas del pasado siglo, una edición especial en gran formato ilustrada por el famoso dibujante argentino JOSÉ MUÑOZ, discípulo de Hugo Pratt y cread...
										
									"
74,EL PRISIONERO DEL CIELO (El Cementerio de los Libros Olvidados 3),"RUIZ ZAFÓN, CARLOS","7,53",Muy bueno,1.245,98,Narrativa,PLANETA,2011,"Barcelona, 1957. Daniel Sempere y su amigo Fermín, los héroes de La Sombra del Viento, regresan de nuevo a la aventura para afrontar el mayor desafío de sus vidas. Justo cuando todo empezaba a sonreírles, un inquietante personaje visita la librería de Sempere y amenaza con desvelar un terrible secre...
										
									"
75,LA CASA DE BERNARDA ALBA,"GARCÍA LORCA, FEDERICO","7,52",Muy bueno,1.240,33,"Poesía, teatro",AUSTRAL,2010,"La casa de Bernarda Alba fue la última obra de teatro que Lorca dejó terminada, pero no llegaría a verla representada. El poeta, además, nunca comentó nada sobre ella, por lo que se presenta como una de sus piezas más enigmáticas. Su lectura ha estado sesgada por interpretaciones de corte político q...
										
									"
76,LA INSOPORTABLE LEVEDAD DEL SER,"KUNDERA, MILAN","7,51",Muy bueno,1.391,85,Literatura contemporánea,TUSQUETS,2007,"Esta es una extraordinaria historia de amor, o sea de celos, de sexo, de traiciones, de muerte y también de las debilidades y paradojas de la vida cotidiana de dos parejas cuyos destinos se entrelazan irremediablemente. Guiado por la asombrosa capacidad de Milan Kundera de contar con cristalina clar...
										
									"
77,CRÓNICA DE UNA MUERTE ANUNCIADA,"GARCÍA MÁRQUEZ, GABRIEL","7,49",Muy bueno,2.831,128,Literatura contemporánea,DEBOLSILLO,2003,"Acaso sea Crónica de una muerte anunciada la obra más «realista» de Gabriel García Márquez, pues se basa en un hecho histórico acontecido en la tierra natal de escritor. Cuando empieza la novela, ya se saber que los hermanos Vicario van a matara a Santiago Nasar -de hecho ya le han matado- para veng...
										
									"
