,Titulo,Autor,NotaMedia,Rango,NumVotos,NumCriticas,Genero,Editorial,AñoEdicion,Resumen
18,EL SEÑOR DE LOS ANILLOS II. Las Dos Torres,"TOLKIEN, J.R.R. (John Ronald Reuel Tolkien)","8,17",Muy bueno,2.646,43,"Fantástica, ciencia ficción",MINOTAURO,2006,"La Compañía se ha disuelto y sus integrantes emprenden caminos separados. Frodo y Sam continúan solos su viaje a lo largo del río Anduin, perseguidos por la sombra misteriosa de un ser extraño que también ambiciona la posesión del Anillo. Mientras, hombres, elfos y enanos se preparan para la batalla...
										
									"
19,CHOQUE DE REYES. (CANCIÓN DE HIELO Y FUEGO 2),"MARTIN, GEORGE R.R.","8,15",Muy bueno,2.292,79,"Fantástica, ciencia ficción",GIGAMESH,2006,"Un cometa del color de la sangre hiende el cielo cargado de malos augurios. Y hay razones sobradas para pensar así: los Siete Reinos se ven sacudidos por las luchas intestinas entre los nobles por la sucesión al Trono de Hierro. En la otra orilla del océano, la princesa Daenerys Targaryen conduce a...
										
									"
20,REBELIÓN EN LA GRANJA,"ORWELL, GEORGE","8,14",Muy bueno,2.644,184,Literatura contemporánea,DESTINO,2010,"Rebelión en la granja (1945) es un cuento satírico de George Orwell acerca de un grupo de animales en una granja que expulsan a los humanos y crean un sistema de gobierno propio que acaba convirtiéndose en una tiranía brutal. la novela fue escrita durante la segunda guerra mundial y , aunque fue pub...
										
									"
21,ORGULLO Y PREJUICIO,"AUSTEN, JANE","8,14",Muy bueno,1.761,158,"Romántica, erótica",ALBA,2009,"Con la llegada del rico y apuesto Mr. Darcy a su región, las vidas de los Bennet y sus cinco hijas se vuelven del revés. El orgullo y la distancia social, la astucia y la hipocresía, los malentendidos y los juicios apresurados abocan a sus personajes al escándalo y al dolor, pero también a la compre...
										
									"
22,ENSAYO SOBRE LA CEGUERA,"SARAMAGO, JOSÉ","8,12",Muy bueno,2.356,216,Literatura contemporánea,ALFAGUARA,2009,"Una ceguera blanca se expande de manera fulminante. Internados, en cuarentena o perdidos por la ciudad los ciegos deben enfrentarse a lo más primitivo de la especie humana: la voluntad de sobrevivir a cualquier precio. José Saramago, Premio Nobel de Literatura 1998, teje una aterradora parábola acer...
										
									"
23,HARRY POTTER Y LAS RELIQUIAS DE LA MUERTE,"ROWLING, JOANNE K.","8,11",Muy bueno,2.524,66,Infantil y juvenil,SALAMANDRA,2008,"Harry tiene que realizar una tarea siniestra, peligrosa y aparentemente imposible: el de localizar y de destruir a Horcruxes. Harry nunca se sintió tan sólo ni se enfrentó a un futuro tan incierto. Pero Harry debe encontrar la fuerza necesaria para terminar la tarea que le han dado. Él debe dejar el...
										
									"
24,CUENTOS,"POE, EDGAR ALLAN","8,06",Muy bueno,1.110,30,"Novela negra, intriga, terror",ESPASA,2007,"Edgar Allan Poe (1809-1849) fue uno de los fundadores de la ""literatura de género"", que incluye la ciencia ficción, la literatura de terror y la novela de misterio. En este volumen se han reunido catorce relatos de misterio que muestran la genialidad de uno de los principales narradores norteamerica...
										
									"
25,LOS PILARES DE LA TIERRA,"FOLLETT, KEN","8,04",Muy bueno,4.833,404,Histórica y aventuras,DEBOLSILLO,2021,"El gran maestro de la narrativa de acción y suspense nos transporta a la Edad Media, a un fascinante mundo de reyes, damas, caballeros, pugnas feudales, castillos y ciudades amuralladas. El amor y la muerte se entrecruzan vibrantemente en este magistral tapiz cuyo centro es la construcción de una ca...
										
									"
26,EL RESPLANDOR,"KING, STEPHEN","8,03",Muy bueno,1.054,1,"Novela negra, intriga, terror",DEBOLSILLO,2021,"REDRUM. Esa es la palabra que Danny había visto en el espejo. Y, aunque no sabía leer, entendió que era un mensaje de horror. Danny tenía cinco años, y a esa edad poco niños saben que los espejos invierten las imágenes y menos aún saben diferenciar entre realidad y fantasía. Pero Danny tenía pruebas...
										
									"
27,EL PRINCIPITO,"SAINT-EXUPERY, ANTOINE DE","8,02",Muy bueno,5.167,292,Clásicos de la literatura,SALAMANDRA,2008,"El valor de la amistad, el heroísmo como meta y la responsabilidad como motor de la conducta moral encuentran su plasmación definitiva en el mundo que descubre El principito , añorado planeta del que todos los hombres han sido exiliados y al que sólo mediante la fabulación cabe regresar.
										
									"
28,HAMLET,"SHAKESPEARE, WILLIAM","8,01",Muy bueno,1.445,47,Clásicos de la literatura,ESPASA,2006,"Hamlet, la obra más conocida de Shakespeare, es en realidad una pieza llena de lagunas e indefiniciones. Una obra enigmática y misteriosa, en la que cada personaje es un artista de la simulación. El propio Hamlet es un ser en continua transformación. En él caben la ceremoniosidad, la cortesía y la r...
										
									"
29,HARRY POTTER Y EL PRISIONERO DE AZKABAN,"ROWLING, JOANNE K.","7,99",Muy bueno,2.739,53,Infantil y juvenil,SALAMANDRA,2000,"Por la cicatriz que lleva en la frente, sabemos que Harry Potter no es un niño como los demás, sino el héroe que venció a lord Voldemort, el más temible y maligno mago de todos los tiempos y culpable de la muerte de los padres de Harry. Desde entonces, Harry no tiene más remedio que vivir con sus pe...
										
									"
30,DON QUIJOTE DE LA MANCHA,"CERVANTES, MIGUEL DE","7,98",Muy bueno,1.799,82,Clásicos de la literatura,ESPASA,2007,"Es una edición en dos tomos, con anotación totalmente nueva, realizada por Alberto Blecua, uno de los mejores especialistas en literatura del Siglo de Oro. El primer volumen cuenta también con una extensa Introducción que nos sitúa al autor y a la obra en su contexto histórico, ayudando a entender l...
										
									"
31,LOS RENGLONES TORCIDOS DE DIOS,"LUCA DE TENA, TORCUATO","7,97",Muy bueno,2.720,248,Narrativa,PLANETA,2009,"Alice, investigadora privada, ingresa en un hospital psiquiátrico, simulando una paranoia, a fin de recabar pruebas del caso en el que trabaja. La realidad a la que se enfrentará en su encierro superará sus expectativas. Un mundo desconocido y apasionante se mostrará ante sus ojos. El curso que toma...
										
									"
32,IT (ESO),"KING, STEPHEN","7,95",Muy bueno,1.033,128,"Novela negra, intriga, terror",DEBOLSILLO,2016,"¿Quién o qué mutila y mata a los niños de un pequeño pueblo norteamericano? ¿Por qué llega cíclicamente el horror a Derry en forma de un payaso siniestro que va sembrando la destrucción a su paso? Esto es lo que se proponen averiguar los protagonistas de esta novela. Tras veintisiete años de tranqui...
										
									"
33,EL JUEGO DE ENDER,"CARD, ORSON SCOTT","7,94",Muy bueno,1.225,91,"Fantástica, ciencia ficción",ZETA BOLSILLO,2009,"La Tierra se ve amenazada por la especie extraterrestre delos Insectores, seres que se comunican telepáticamente y que se consideran totalmente distintos de los humanos, a los que quieren destruir. Para vencerlos, la humanidad necesita de un genio militar, y por ello se permite el nacimiento de Ende...
										
									"
34,EL NOMBRE DE LA ROSA,"ECO, UMBERTO","7,93",Muy bueno,2.895,187,"Novela negra, intriga, terror",LUMEN,2015,"Valiéndose de las características de la novela gótica, la crónica medieval y la novela policíaca, El nombre de la rosa narra las investigaciones detectivescas que realiza el fraile franciscano Guillermo de Baskerville para esclarecer los crímenes cometidos en una abadía benedictina en el a...
										
									"
35,HARRY POTTER Y EL MISTERIO DEL PRINCIPE,"ROWLING, JOANNE K.","7,93",Muy bueno,2.424,44,Infantil y juvenil,SALAMANDRA,2006,"Con dieciséis años cumplidos, Harry inicia el sexto curso en Hogwarts en medio de terribles acontecimientos que asolan Inglaterra. Elegido capitán del equipo de Quidditch, los entrenamientos, los exámenes y las chicas ocupan todo su tiempo, pero la tranquilidad dura poco. A pesar de los férreos cont...
										
									"
36,HARRY POTTER Y EL CÁLIZ DE FUEGO,"ROWLING, JOANNE K.","7,9",Muy bueno,2.605,34,Infantil y juvenil,SALAMANDRA,2001,"Tras otro abominable verano con los Dursley, Harry se dispone a iniciar el cuarto curso en Hogwarts, la famosa escuela de magia y hechicería. A sus catorce años, a Harry le gustaría ser un joven mago como los demás y dedicarse a aprender nuevos sortilegios, encontrarse con sus amigos Ron y Hermione...
										
									"
37,DRÁCULA,"STOKER, BRAM","7,9",Muy bueno,1.966,116,"Novela negra, intriga, terror",AUSTRAL,2006,"Novela epistolar, narración en la que se elevan distintas y apasionadas voces, intensa historia de amores y sentimientos, ejemplo indiscutible de novela gótica. El irlandés Bram Stoker no soñaba con que su libro, publicado en 1897, se convertiría en un    clásico una y mil veces visitado y reinterpr...
										
									"
38,EL AMOR EN LOS TIEMPOS DEL CÓLERA,"GARCÍA MÁRQUEZ, GABRIEL","7,89",Muy bueno,2.094,141,Literatura contemporánea,LITERATURA RANDOM HOUSE,2014,"La historia de amor entre Fermina Daza y Florentino Ariza, en el escenario de un pueblecito portuario del Caribe y a lo largo de más de sesenta años, podría parecer un melodrama de amantes contrariados que al final vencen por la gracia del tiempo y la fuerza de sus propios sentimientos, ya que Garcí...
										
									"
39,LA HISTORIA INTERMINABLE,"ENDE, MICHAEL","7,89",Muy bueno,1.980,89,"Fantástica, ciencia ficción",ALFAGUARA,2007,"¿Qué es Fantasia? Fantasia es la Historia Interminable. ¿Dónde está escrita esa historia? En un libro de tapas color cobre. ¿Dónde está ese libro? Entonces estaba en el desván de un colegio... Estas son las tres preguntas que formulan los Pensadores Profundos, y las tres sencillas respuestas que rec...
										
									"
40,EL MÉDICO,"GORDON, NOAH","7,88",Muy bueno,2.840,206,Histórica y aventuras,ROCA,2009,"Esta fascinante novela describe la pasión de un hombre del siglo XI por vencer la enfermedad y la muerte, aliviar el dolor de sus semejantes e impartir el don casi místico de sanar que le ha sido otorgado. Es la crónica del increíble viaje del joven Rob Cole, de su lucha contra la enfermedad y la mu...
										
									"
41,A SANGRE FRÍA,"CAPOTE, TRUMAN","7,87",Muy bueno,1.151,95,No Ficción,ANAGRAMA,2007,"El 15 de noviembre de 1959, en un pueblecito de Kansas, los cuatro miembros de la familia Clutter fueron salvajemente asesinados en su casa. Los crímenes eran, aparentemente, inmotivados, y no se encontraron claves que permitieran identificar a los asesinos. Cinco años después, Dick Hickcock y Perry...
										
									"
42,LOS JUEGOS DEL HAMBRE,"COLLINS, SUZANNE","7,86",Muy bueno,2.336,167,Infantil y juvenil,MOLINO,2009,"Un pasado de guerras ha dejado los 12 distritos que dividen Panem bajo el poder tiránico del ""Capitolio"". Sin libertad y en la pobreza, nadie puede salir de los límites de su distrito. Sólo una chica de 16 años, Katniss Everdeen, osa desafiar las normas para conseguir comida. Sus principios se pondr...
										
									"
43,LEGADO EN LOS HUESOS. Trilogía del Baztán 2,"REDONDO, DOLORES","7,86",Muy bueno,1.069,94,"Novela negra, intriga, terror",DESTINO,2013,"El juicio contra el padrastro de la joven Johana Márquez está a punto de comenzar. A él asiste una embarazada Amaia Salazar, la inspectora de la policía foral que un año atrás había resuelto los crímenes del llamado basajaun, que sembraron de terror el valle del Baztán. Amaia también había reunido l...
										
									"
44,LA VERDAD SOBRE EL CASO HARRY QUEBERT,"DICKER, JOËL","7,85",Muy bueno,2.168,323,"Novela negra, intriga, terror",ALFAGUARA,2013,"Quién mató a Nola Kellergan es la gran incógnita a desvelar en esta incomparable historia policiaca cuya experiencia de lectura escapa a cualquier intento de descripción. Intentémoslo:   Una novela de suspense a tres tiempos —1975, 1998 y 2008— acerca del asesinato de una joven de quince...
										
									"
45,DANZA DE DRAGONES. (CANCIÓN DE HIELO Y FUEGO 5),"MARTIN, GEORGE R.R.","7,85",Muy bueno,1.424,65,"Fantástica, ciencia ficción",GIGAMESH,2012,"""Danza de dragones"" es el quinto libro de la saga ""Canción de hielo y fuego"". Narra los acontecimientos posteriores al tercer libro ""Tormenta de espadas"", simultáneos a los acaecidos en el cuarto, ""Festín de cuervos"". La Guerra de los Cinco Reyes parece que decae. En el Norte, el Rey Stannis Barathe...
										
									"
46,LA CAÍDA DE LOS GIGANTES. (The Century 1),"FOLLETT, KEN","7,84",Muy bueno,1.381,124,Histórica y aventuras,PLAZA & JANÉS,2010,"Ken Follet regresa con la trilogía The Century, donde combina la ambientación épica y el drama humano, sello distintivo en sus obras, a una escala nunca antes concebida, ni siquiera por él. Con la misma habilidad que en sus best sellers ambientados en la Edad Media, en The Century, sigue los destino...
										
									"
47,VEINTE POEMAS DE AMOR Y UNA CANCIÓN DESESPERADA,"NERUDA, PABLO","7,84",Muy bueno,1.257,33,"Poesía, teatro",ESPASA,2007,"Los Veinte poemas son un libro doloroso y pastoril que contiene mis más atormentadas pasiones adolescentes, mezcladas con la naturaleza arrolladora del sur de mi patria. Es un libro de amor porque a pesar de su aguda melancolía está presente en él el goce de la existencia. Con estas palabras define...
										
									"
48,LA SOMBRA DEL VIENTO (El Cementerio de los Libros Olvidados 1),"RUIZ ZAFÓN, CARLOS","7,82",Muy bueno,5.494,483,Narrativa,PLANETA,2006,"Un amanecer de 1945 un muchacho es conducido por su padre a un misterioso lugar oculto en el corazón de la ciudad vieja: El Cementerio de los Libros Olvidados. Allí, Daniel Sempere encuentra un libro maldito que cambiará el rumbo de su vida y le arrastrará a un laberinto de intrigas y secretos enter...
										
									"
49,DIEZ NEGRITOS,"CHRISTIE, AGATHA","7,82",Muy bueno,2.061,158,"Novela negra, intriga, terror",ESPASA,2015,"Diez personas reciben cartas firmadas por un desconocido invitándolas a pasar unos días en su mansión situada en uno de los islotes de la costa de Devon. En la primera noche, después de la cena, una voz les acusa a todos de un pasado culpable.
										
									"
50,HARRY POTTER Y LA ÓRDEN DEL FÉNIX,"ROWLING, JOANNE K.","7,79",Muy bueno,2.452,33,Infantil y juvenil,SALAMANDRA,2003,"Las tediosas vacaciones en casa de sus tíos todavía no han acabado y Harry se encuentre más inquieto que nunca. Apenas ha tenido nocitias de Ron y Hermiones, y presiente que algo extraño está sucediendo en Hogwarts. En efecto, cuando por fin comienza otro curso en el famoso colegio de magia y hechic...
										
									"
51,LA CASA DE LOS ESPÍRITUS,"ALLENDE, ISABEL","7,76",Muy bueno,2.647,151,Narrativa,DEBOLSILLO,2009,"Primera novela de Isabel Allende, La casa de los espíritus narra la saga de una poderosa familia de terratenientes latinoamericanos. El despótico patriarca Esteban Trueba ha construido con mano de hierro un imperio privado que empieza a tambalearse con el paso del tiempo y un entorno social explosiv...
										
									"
52,DIME QUIÉN SOY,"NAVARRO, JULIA","7,76",Muy bueno,1.383,195,Narrativa,PLAZA & JANÉS,2010,"Un periodista recibe una propuesta para investigar la azarosa vida de su bisabuela, una mujer de la que sólo se sabe que huyó de España abandonando a su marido y a su hijo poco antes de que estallara la Guerra Civil. Para rescatarla del olvido deberá reconstruir su historia desde los cimientos, sigu...
										
									"
